travel sustainable,travel sustainable_2,star rating,quality rating,preferred badge,review score,overall review,reviews count,property name,location,price,distance from centre,room type recommendation
N/A,N/A,N/A,N/A,N/A,10,Exceptional,2,Ceylonz Suites By Starwood Lux,"Bukit Bintang, Kuala Lumpur",MYR 243,0.9 km from centre,Superior Studio
Travel Sustainable Level 2,N/A,N/A,3 out of 5,This is a Preferred Plus property,7.9,Good,"2,452",Ceylonz KLCC by Gsuites,"Bukit Bintang, Kuala Lumpur",MYR 205,0.9 km from centre,Double Room with Extra Bed
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The Robertson Residence by Chloe Suite,"Bukit Bintang, Kuala Lumpur",MYR 157,1.2 km from centre,Two-Bedroom Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,9.4,Superb,5,KL Center Apartment at Times Square,"Bukit Bintang, Kuala Lumpur",MYR 978,1.4 km from centre,One-Bedroom Apartment
N/A,N/A,N/A,N/A,This is a Preferred Plus property,9.1,Superb,181,The Platinum 2 Kuala Lumpur by HOLMA,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 461,0.6 km from centre,Deluxe Twin Room
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,9.5,Exceptional,4,PLUS POINT AT TIMES SQUARE KL,"Bukit Bintang, Kuala Lumpur","MYR 1,427",1.3 km from centre,Studio Apartment
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,9.4,Superb,118,MOONWAY SUITES At EATON KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 720,1.4 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.1,Very good,45,EATON Residences by WSD,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 423,1.4 km from centre,Superior King Suite
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.2,Very good,573,Times Square Service Suites Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 185,1.3 km from centre,Studio Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.2,Very good,52,BBS Suites At Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 460,1.3 km from centre,Deluxe King Studio
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.2,Good,22,kL Apartments At Times Square,"Bukit Bintang, Kuala Lumpur",MYR 347,1.4 km from centre,Superior Suite
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,10,Exceptional,2,Vortex Suites KLCC by Luna Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 873,100 m from centre,Premier Two-Bedroom Suite (High Floor)
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.9,Good,38,Raymond Suites At Berjaya Times Square,"Bukit Bintang, Kuala Lumpur",MYR 251,1.3 km from centre,Standard Studio
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Plus property,7.9,Good,223,WSD Times 8 Luxury Hotels & Residences,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 395,0.8 km from centre,Deluxe Suite
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.6,Fabulous,64,KL TIMES SQUARE SERVICE RESIDENCIES,"Bukit Bintang, Kuala Lumpur",MYR 268,1.3 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.3,Very good,12,HOTEL SERVICE SUITES at TIMES SQUARE,"Bukit Bintang, Kuala Lumpur",MYR 500,1.4 km from centre,Superior Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.2,Very good,62,KL Rosemary Apartment at Berjaya Times Square,"Bukit Bintang, Kuala Lumpur",MYR 375,1.3 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.4,Very good,543,Star Luxury Suites KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 611,1 km from centre,Superior Suite with View
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.8,Fabulous,247,Platinum Suites by MoonOrchid,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 349,0.7 km from centre,Deluxe Double Room
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.5,Very good,44,KL Seasons Apartment at Times Square,"Bukit Bintang, Kuala Lumpur",MYR 372,1.3 km from centre,King Studio
Travel Sustainable Level 1,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.1,Very good,93,Town Place Apartments at Times square KL,"Bukit Bintang, Kuala Lumpur",MYR 259,1.3 km from centre,Studio Apartment
Travel Sustainable Level 2,N/A,N/A,3 out of 5,This is a Preferred Plus property,7.8,Good,433,Platinum KLCC by SS Residence,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 436,0.7 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.8,Good,453,Grand Suite at Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 382,0.7 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.8,Good,317,Sky Suites KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 454,350 m from centre,Deluxe Two Bedroom Suite (High Floor)
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.0,Very good,20,KL Time Square suit At Berjaya Times square,"Bukit Bintang, Kuala Lumpur",MYR 542,1.3 km from centre,One-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.7,Fabulous,11,Kuala Lumpur Suite At times Square,"Bukit Bintang, Kuala Lumpur",MYR 283,1.3 km from centre,Deluxe Studio
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,9.5,Exceptional,29,Universal Times Suites At Times Square,"Bukit Bintang, Kuala Lumpur",MYR 320,1.4 km from centre,One-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.4,Very good,352,Summer Suites KLCC by Luna,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 168,0.6 km from centre,Deluxe One-Bedroom Suite
N/A,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.3,Very good,75,Yemala Suites @ Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 551,250 m from centre,One-Bedroom Apartment
N/A,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.1,Very good,277,EkoCheras Residences by White Forest Suites,Kuala Lumpur,MYR 201,7.7 km from centre,Duplex Suite
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.0,Very good,185,Luxe Suites at Vortex KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur","MYR 1,197",100 m from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,N/A,3 out of 5,This is a Preferred Plus property,8.1,Very good,240,Maison 101 Dang Wangi,"Chow Kit, Kuala Lumpur",MYR 243,0.9 km from centre,Premium King Room
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.4,Good,33,Tourism Service Suites At Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 329,1.3 km from centre,Studio Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,N/A,8.3,Very good,13,KL Summer Suite Apartment @ Mercu Summer Suite KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 187,0.6 km from centre,Superior Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.1,Very good,"2,563",Expressionz KLCC by Wodages,Kuala Lumpur,MYR 274,2 km from centre,Premium Suites with Bathtub
N/A,N/A,N/A,3 out of 5,This is a Preferred Plus property,8.0,Very good,221,Robertson Suites Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 235,1.2 km from centre,Apartment with Shower
N/A,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.3,Very good,250,Premier Suites AT Times Square,"Bukit Bintang, Kuala Lumpur",MYR 299,1.4 km from centre,Studio Apartment
N/A,N/A,N/A,N/A,This is a Preferred Partner property,8.1,Very good,71,Uptown Chinatown,Kuala Lumpur,MYR 87,1.6 km from centre,Superior Double Room
N/A,N/A,N/A,N/A,N/A,7.0,Good,2,The Robertson's studio 1BR With Netflix,"Bukit Bintang, Kuala Lumpur",MYR 169,1.2 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.7,Fabulous,"2,322",Santa Grand Signature Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 235,0.8 km from centre,Bong Soo Queen
N/A,N/A,N/A,4 out of 5,N/A,9.5,Exceptional,20,KLCC Luxury Suite @ Scarletz by Lily and Loft,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 179,1.2 km from centre,Studio Apartment
Travel Sustainable Level 3,N/A,2 out of 5,N/A,This is a Preferred Partner property,8.8,Fabulous,"1,040",Space Hotel @ Chinatown Kuala Lumpur,Kuala Lumpur,MYR 143,1.5 km from centre,Double Room with Shared Bathroom
N/A,N/A,3 out of 5,N/A,N/A,7.7,Good,315,Metro Hotel Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 133,1.3 km from centre,Superior Double
Travel Sustainable Level 2,N/A,5 out of 5,N/A,N/A,8.9,Fabulous,"5,282","Mandarin Oriental, Kuala Lumpur","Kuala Lumpur City-Centre, Kuala Lumpur",MYR 850,450 m from centre,Deluxe King Room with City View
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.8,Good,746,Vortex Suites KLCC by Luna,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 295,100 m from centre,Deluxe Two-Bedroom Suite (High Floor)
N/A,N/A,N/A,N/A,N/A,8.9,Fabulous,302,Tian Jing Hotel,Kuala Lumpur,MYR 213,1.5 km from centre,Double Room with Garden View
N/A,N/A,N/A,3 out of 5,N/A,N/A,N/A,N/A,Comfy Bedroom in BKT Bintang LaLaport by Alux 32m,"Bukit Bintang, Kuala Lumpur",MYR 259,1.5 km from centre,One-Bedroom Apartment
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.7,Good,106,Metrostar Hotel Kuala Lumpur,"Golden Triangle, Kuala Lumpur",MYR 198,1.1 km from centre,Superior King Room
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Partner property,9.0,Superb,"1,425",KLoe Hotel,"Bukit Bintang, Kuala Lumpur",MYR 348,1.3 km from centre,City Room
N/A,N/A,2 out of 5,N/A,N/A,6.4,Review score,127,Lodge Paradize Hotel By The Sqwhere,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 94,450 m from centre,Standard Queen Room
N/A,N/A,N/A,4 out of 5,This is a Preferred Partner property,7.9,Good,300,BBHOMES @ CASA KL,"Bukit Bintang, Kuala Lumpur",MYR 128,1.4 km from centre,Standard double room (Studio Room)
Travel Sustainable Level 1,N/A,3 out of 5,N/A,N/A,6.6,Review score,"1,674",Arenaa Star Hotel,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 94,1.1 km from centre,Superior Twin with No Window (non-smoking) - Main Wing
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.3,Very good,"1,047",Eastern Suites at Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 266,0.6 km from centre,Executive One-Bedroom Suite
N/A,N/A,N/A,N/A,This is a Preferred Partner property,7.1,Good,454,Worldview Grand Hotel,Kuala Lumpur,MYR 97,5 km from centre,Standard Double Room
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.7,Fabulous,218,KL Better Apartment at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 229,1.3 km from centre,Studio Apartment
N/A,N/A,N/A,N/A,N/A,10,Exceptional,6,Platinum Suites KLCC By Excellent House,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 290,0.7 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,N/A,4 out of 5,N/A,10,Exceptional,5,COLONY BY INFINITUM SUITES SERVICE KLCC,"Chow Kit, Kuala Lumpur",MYR 146,1.1 km from centre,Studio
N/A,N/A,N/A,3 out of 5,N/A,5.6,Review score,5,THE WISMA INFITUM KLCC By LEALA,"Chow Kit, Kuala Lumpur",MYR 199,1.2 km from centre,One-Bedroom Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.5,Very good,31,Chambers Kuala Lumpur by Five Senses,"Chow Kit, Kuala Lumpur",MYR 157,2 km from centre,Signature Studio
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The Scott Garden,"Mid Valley, Kuala Lumpur",MYR 145,7.5 km from centre,One-Bedroom Apartment
N/A,N/A,5 out of 5,N/A,This is a Preferred Partner property,7.8,Good,"2,192",Hotel Maya Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 440,0.5 km from centre,Studio Room
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.4,Very good,"1,501",AC Hotel by Marriott Kuala Lumpur,Kuala Lumpur,MYR 182,2.4 km from centre,Deluxe King Room
N/A,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.6,Fabulous,107,"KL Sentral, EST Bangsar by SkyLimit Suites","Brickfields, Kuala Lumpur",MYR 160,4 km from centre,Duplex Apartment
Travel Sustainable Level 1,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.2,Good,408,City Comfort Hotel Kuala Lumpur City Center (Bukit Bintang),"Bukit Bintang, Kuala Lumpur",MYR 126,1.7 km from centre,Standard King Windowless
Travel Sustainable Level 1,N/A,N/A,N/A,This is a Preferred Plus property,8.4,Very good,486,The Maple Suite,"Bukit Bintang, Kuala Lumpur",MYR 238,0.6 km from centre,Deluxe One-Bedroom Apartment
N/A,N/A,N/A,3 out of 5,N/A,9.1,Superb,20,Harmony Luxury Suites At Lucentia Bukit Bintang City Center,"Pudu, Kuala Lumpur",MYR 392,1.6 km from centre,Deluxe King Studio
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.8,Good,261,Expressionz Suites by V&C,Kuala Lumpur,MYR 194,2 km from centre,Deluxe King Suite
N/A,N/A,N/A,3 out of 5,This is a Preferred Partner property,7.6,Good,95,Empire Suite At Times Square Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 152,1.4 km from centre,Studio Apartment
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,Top Floor Amazing KL View 3BR 6PAX @ Sunway Velocity Mall,"Pudu, Kuala Lumpur",MYR 253,3.6 km from centre,Three-Bedroom Apartment
N/A,N/A,N/A,N/A,N/A,6.5,Review score,2,Freedom 1 bed room at colony infinitum,"Chow Kit, Kuala Lumpur",MYR 142,1.1 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.8,Fabulous,69,Happy Suite at Platinum KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 337,0.7 km from centre,One-Bedroom Apartment
N/A,N/A,N/A,3 out of 5,This is a Preferred Partner property,7.0,Good,230,Suites & Residences @ Regalia by PLC,"Golden Triangle, Kuala Lumpur",MYR 162,1.9 km from centre,Deluxe Apartment
N/A,N/A,N/A,N/A,N/A,8.3,Very good,3,Regalia Residence & suites Myge homes,"Chow Kit, Kuala Lumpur",MYR 125,2 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.5,Very good,"1,100","The Ritz-Carlton, Kuala Lumpur","Bukit Bintang, Kuala Lumpur",MYR 555,1.2 km from centre,Deluxe King Room
N/A,N/A,N/A,4 out of 5,N/A,8.0,Very good,1,Tropicana The Residences KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 437,0.5 km from centre,Two-Bedroom Apartment
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,MyHabitat KL by Plush,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 222,1.7 km from centre,Two-Bedroom Apartment
Travel Sustainable Level 2,N/A,3 out of 5,N/A,This is a Preferred Partner property,8.1,Very good,313,InnB Park Hotel,"Bukit Bintang, Kuala Lumpur",MYR 165,1.2 km from centre,Superior Queen Room with City View
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Plus property,8.6,Fabulous,422,Eaton Suites KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 458,1.4 km from centre,Superior Suite
Travel Sustainable Level 1,N/A,N/A,4 out of 5,This is a Preferred Partner property,9.3,Superb,41,Perkasa Suites by Eaton KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 414,1.4 km from centre,One-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,N/A,7.2,Good,76,Adya Hotel Kuala Lumpur,"Golden Triangle, Kuala Lumpur",MYR 101,1.3 km from centre,Standard Queen Room
N/A,N/A,N/A,N/A,N/A,10,Exceptional,1,Cozy Studio at 188 Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 218,0.7 km from centre,Apartment with Balcony
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Partner property,9.0,Superb,6,M City Ampang Infinity Pool KLCC,"Ampang, Kuala Lumpur",MYR 269,4.4 km from centre,Studio with Garden View
Travel Sustainable Level 2,N/A,N/A,N/A,This is a Preferred Partner property,8.6,Fabulous,334,Chinatown Hostel by Mingle,Kuala Lumpur,MYR 70,1.6 km from centre,Bed in 10-Bed Mixed Dormitory Room
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cozy MITEC Publika Mont Kiara Desa Park RDA122 D,Kuala Lumpur,MYR 235,4.7 km from centre,Three-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.6,Good,49,City Apartment Times Square Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 300,1.3 km from centre,Deluxe Apartment
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.5,Good,249,Times Square Private Service Suite At KL,"Bukit Bintang, Kuala Lumpur",MYR 225,1.3 km from centre,Superior Suite
Travel Sustainable Level 1,N/A,3 out of 5,N/A,N/A,7.3,Good,648,Hotel Transit Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 124,1.1 km from centre,Standard Queen Room
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.7,Good,"5,576",Expressionz Professional Suites by MyKey Global,Kuala Lumpur,MYR 142,1.8 km from centre,Deluxe Studio
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,Cozy 3BR 2-8pax 65incTV near MidValley/Pavilion 2,"Mid Valley, Kuala Lumpur",MYR 320,8.1 km from centre,Three-Bedroom Apartment
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.3,Good,"2,174",Eastern Suites @ Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 323,1.4 km from centre,Junior King Suite
Travel Sustainable Level 1,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.5,Very good,83,Opus Residences Merdeka Tower KL,"Mid Valley, Kuala Lumpur",MYR 236,2 km from centre,One-Bedroom Suite with Merdeka Tower View
N/A,N/A,3 out of 5,N/A,N/A,8.3,Very good,111,Hotel Summer View,"Brickfields, Kuala Lumpur",MYR 149,3.1 km from centre,Standard King Room
N/A,N/A,N/A,3 out of 5,This is a Preferred Partner property,8.1,Very good,617,EkoCheras Designer Suite by Moka @ Cheras,Kuala Lumpur,MYR 177,7.6 km from centre,Duplex Apartment
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Summer suites near by KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 192,0.8 km from centre,One-Bedroom Apartment
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,#KL #KLCC Muji Simply Cozy Home KL C221 R Chambers,"Chow Kit, Kuala Lumpur",MYR 182,2 km from centre,One-Bedroom Apartment
N/A,N/A,4 out of 5,N/A,N/A,8.4,Very good,"4,559",Concorde Hotel Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 288,250 m from centre,Superior Double or Twin Room
N/A,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.6,Fabulous,"7,161",Sunway Putra Hotel Kuala Lumpur,"Chow Kit, Kuala Lumpur",MYR 259,2.2 km from centre,Superior Double or Twin Room
Travel Sustainable Level 3,N/A,5 out of 5,N/A,N/A,9.2,Superb,"1,856",EQ Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 840,250 m from centre,Deluxe King Room
Travel Sustainable Level 3,N/A,N/A,N/A,This is a Preferred Partner property,7.6,Good,149,"Senja Hostel Kuala Lumpur, Chinatown",Kuala Lumpur,MYR 70,1.7 km from centre,Standard Twin Room with Shared Bathroom
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,Ceylonz Suites by M Space,"Bukit Bintang, Kuala Lumpur",MYR 302,0.9 km from centre,Triple Room with City View
Travel Sustainable Level 3,N/A,N/A,3 out of 5,N/A,7.7,Good,225,Family Apartment At Times Square,"Bukit Bintang, Kuala Lumpur",MYR 199,1.4 km from centre,One-Bedroom Apartment
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.6,Good,"1,934",City Central Hotel,"Brickfields, Kuala Lumpur",MYR 135,3.2 km from centre,Deluxe Queen Room : Hassle Free Check-in / Free Wifi / Daily Sanitization of Common Area
N/A,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.3,Very good,"3,208",Ceylonz Suites by MyKey Global,"Bukit Bintang, Kuala Lumpur",MYR 213,0.8 km from centre,Designer Twin Studio
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.6,Good,587,Hotel Six Seasons @ Mid Valley,"Mid Valley, Kuala Lumpur",MYR 148,8.7 km from centre,Superior Queen Room
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.6,Fabulous,"1,449","Hotel Stripes Kuala Lumpur, Autograph Collection","Chow Kit, Kuala Lumpur",MYR 298,0.9 km from centre,Deluxe Double Room
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.6,Good,41,100100 Suites At Times Square Malaysia,"Bukit Bintang, Kuala Lumpur",MYR 292,1.3 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,5 out of 5,N/A,N/A,8.4,Very good,"5,806",Seri Pacific Hotel Kuala Lumpur,"Chow Kit, Kuala Lumpur",MYR 230,2.3 km from centre,Superior King Room
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.8,Good,987,Hilton Garden Inn Kuala Lumpur - North,"Chow Kit, Kuala Lumpur",MYR 120,1.6 km from centre,Queen Room
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.4,Good,153,Casa Residency Apartment,"Bukit Bintang, Kuala Lumpur",MYR 130,1.4 km from centre,Standard Queen Room
Travel Sustainable Level 3,N/A,2 out of 5,N/A,This is a Preferred Partner property,8.0,Very good,562,Travelogue Guest House,"Bukit Bintang, Kuala Lumpur",MYR 92,0.9 km from centre,Deluxe Room with Shared Bathroom
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.7,Good,628,The Mesui Hotel Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 159,0.6 km from centre,Deluxe Queen Room
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.0,Very good,24,Summer Suite KLCC By Citybox,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 225,0.6 km from centre,Deluxe Studio
N/A,N/A,N/A,4 out of 5,N/A,8.6,Fabulous,70,Scarletz Suites KLCC Twin Tower,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 235,1.2 km from centre,Superior Apartment
N/A,N/A,N/A,4 out of 5,N/A,N/A,N/A,N/A,EkoCheras Duplex unit above shopping mall 2min to Mrt,Kuala Lumpur,MYR 131,7.4 km from centre,Two-Bedroom Apartment
N/A,N/A,N/A,4 out of 5,N/A,7.0,Good,4,Maxhome at Scarletz Klcc City Centre,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 136,1.2 km from centre,Studio Apartment
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,8.4,Very good,218,"Canopy Lives at Tribeca Residence, Five Senses","Bukit Bintang, Kuala Lumpur",MYR 276,1.2 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.4,Very good,"2,242",WOLO Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 278,0.9 km from centre,Copper King without window
Travel Sustainable Level 2,N/A,5 out of 5,N/A,This is a Preferred Partner property,9.2,Superb,"3,000",The RuMa Hotel and Residences,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 685,0.8 km from centre,Deluxe King Room
N/A,N/A,N/A,4 out of 5,N/A,8.9,Fabulous,42,D'Majestic by Lush Living,"Bukit Bintang, Kuala Lumpur",MYR 142,2 km from centre,Deluxe Double or Twin Room with City View
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,8.0,Very good,758,Travelodge Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 236,1 km from centre,Superior Double Room
Travel Sustainable Level 1,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.4,Very good,"4,672",DoubleTree By Hilton Kuala Lumpur,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 361,1.6 km from centre,Twin Room
N/A,N/A,3 out of 5,N/A,N/A,8.0,Very good,1,Sani Hotel & Travel Kuala Lumpur,"Chow Kit, Kuala Lumpur",MYR 149,2 km from centre,Superior Double or Twin Room
N/A,N/A,1 out of 5,N/A,N/A,6.7,Review score,24,Smile Hotel Cheras Sri Permaisuri,Kuala Lumpur,MYR 89,6.1 km from centre,Double Room
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,The platinum klcc by Infinity pool,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 240,0.7 km from centre,One-Bedroom Apartment
Travel Sustainable Level 1,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.7,Good,"3,710","Holiday Inn Express Kuala Lumpur City Centre, an IHG Hotel","Kuala Lumpur City-Centre, Kuala Lumpur",MYR 230,400 m from centre,Standard Double or Twin Room
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,8.0,Very good,689,K Hotel,"Golden Triangle, Kuala Lumpur",MYR 108,1.3 km from centre,Standard Double Room (no window)
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.0,Good,266,Pacific Express Hotel Central Market Kuala Lumpur,Kuala Lumpur,MYR 138,1.6 km from centre,Standard Queen Room (No Window)
Travel Sustainable Level 2,N/A,N/A,3 out of 5,This is a Preferred Partner property,8.3,Very good,"2,900",Ceylonz Starlight Suites Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 241,0.8 km from centre,Designer Twin Studio
N/A,N/A,5 out of 5,N/A,This is a Preferred Partner property,6.7,Review score,88,Lexus Service Suite,"Bukit Bintang, Kuala Lumpur",MYR 169,1.3 km from centre,Deluxe King Studio
Travel Sustainable Level 3,N/A,5 out of 5,N/A,This is a Preferred Partner property,8.1,Very good,"3,266",PARKROYAL Serviced Suites Kuala Lumpur,"Bukit Bintang, Kuala Lumpur",MYR 320,0.6 km from centre,Studio Suite King
