travel sustainable,travel sustainable_2,star rating,quality rating,preferred badge,review score,overall review,reviews count,property name,location,price,distance from centre,room type recommendation
N/A,N/A,2 out of 5,N/A,This is a Preferred Partner property,6.9,Review score,207,Palace Hotel,"Golden Triangle, Kuala Lumpur",MYR 104,1.2 km from centre,Standard Twin Room
Travel Sustainable Level 2,N/A,N/A,4 out of 5,This is a Preferred Plus property,8.5,Very good,115,Platinum Service Suite KLCC By Citybox,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 314,0.7 km from centre,Deluxe King Studio
N/A,N/A,4 out of 5,N/A,This is a Preferred Plus property,7.1,Good,121,Excellent Service Suite At Times Square,"Bukit Bintang, Kuala Lumpur",MYR 297,1.3 km from centre,Junior Suite
N/A,N/A,2 out of 5,N/A,N/A,N/A,N/A,N/A,Capital O 90788 New Hotel 33 Permaisuri,Kuala Lumpur,MYR 93,5.8 km from centre,Deluxe Double Room
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cozy MITEC Publika Mont Kiara Desa Park RDA122 D,Kuala Lumpur,MYR 235,4.7 km from centre,Three-Bedroom Apartment
Travel Sustainable Level 2,N/A,3 out of 5,N/A,N/A,7.5,Good,61,ECO HOTEL at BUKIT BINTANG,"Bukit Bintang, Kuala Lumpur",MYR 94,1.7 km from centre,Standard Double or Twin Room
Travel Sustainable Level 2,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.4,Good,"1,681",CITI HOTEL @ KL SENTRAL,"Brickfields, Kuala Lumpur",MYR 89,3.3 km from centre,Deluxe Queen Room
Travel Sustainable Level 2,N/A,4 out of 5,N/A,This is a Preferred Plus property,9.2,Superb,26,ASTRA @ 8 Kia Peng Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 404,1 km from centre,Deluxe Apartment
Travel Sustainable Level 3,N/A,N/A,4 out of 5,This is a Preferred Plus property,9.3,Superb,281,Crystal Suites at Eaton KLCC,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 602,1.4 km from centre,One-Bedroom Apartment
Travel Sustainable Level 2,N/A,N/A,N/A,This is a Preferred Partner property,9.3,Superb,3,Perfect Sleep at Mercu Summer Suites,"Kuala Lumpur City-Centre, Kuala Lumpur",MYR 198,0.6 km from centre,Studio with Balcony
N/A,N/A,N/A,4 out of 5,This is a Preferred Partner property,8.3,Very good,"3,208",Ceylonz Suites by MyKey Global,"Bukit Bintang, Kuala Lumpur",MYR 213,0.8 km from centre,Designer Twin Studio
N/A,N/A,4 out of 5,N/A,This is a Preferred Partner property,7.4,Good,152,Casa Residency Apartment,"Bukit Bintang, Kuala Lumpur",MYR 130,1.4 km from centre,Standard Queen Room
Travel Sustainable Level 1,N/A,N/A,N/A,N/A,9.3,Superb,169,OA ThE FACTORY AT BUKIT BINTANG,"Bukit Bintang, Kuala Lumpur",MYR 53,1.2 km from centre,Budget Triple Room
Travel Sustainable Level 3,N/A,4 out of 5,N/A,This is a Preferred Plus property,9.2,Superb,996,citizenM Kuala Lumpur Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 264,1.1 km from centre,King Room
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,8.0,Very good,"2,127",Easy Hotel KL Sentral,"Brickfields, Kuala Lumpur",MYR 105,3.2 km from centre,Deluxe Queen Room : Hassle Free Check-in / Free Wifi / Hourly Sanitization of Common Area / Gym & Rooftop Sky Garden Access
N/A,N/A,N/A,3 out of 5,This is a Preferred Partner property,7.2,Good,393,D'Majestic Place by Widebed,"Bukit Bintang, Kuala Lumpur",MYR 137,2 km from centre,Double Room
N/A,N/A,N/A,3 out of 5,N/A,10,Exceptional,4,Imbi Suite at Times Square KL,"Bukit Bintang, Kuala Lumpur",MYR 359,1.4 km from centre,One-Bedroom Suite
Travel Sustainable Level 2,N/A,N/A,3 out of 5,This is a Preferred Partner property,8.3,Very good,"2,899",Ceylonz Starlight Suites Bukit Bintang,"Bukit Bintang, Kuala Lumpur",MYR 241,0.8 km from centre,Designer Twin Studio
Travel Sustainable Level 1,N/A,N/A,4 out of 5,N/A,10,Exceptional,2,Bintang Private Unite At Berjaya Times Square,"Bukit Bintang, Kuala Lumpur",MYR 162,1.4 km from centre,Deluxe Twin Room
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,8.5,Very good,"1,519",A&R Urban Hotel,Kuala Lumpur,MYR 86,8.8 km from centre,Deluxe Queen Room
Travel Sustainable Level 1,N/A,2 out of 5,N/A,This is a Preferred Plus property,7.7,Good,"1,382",Ceria Hotel,"Bukit Bintang, Kuala Lumpur",MYR 98,1.5 km from centre,Standard Double Room
N/A,N/A,3 out of 5,N/A,This is a Preferred Partner property,7.5,Good,598,Orkid Hills Hotel,"Bukit Bintang, Kuala Lumpur",MYR 96,1.7 km from centre,Deluxe Queen Room
N/A,N/A,2 out of 5,N/A,N/A,7.7,Good,"2,270",NU Hotel @ KL Sentral,"KL Sentral Train Station, Kuala Lumpur",MYR 144,3.3 km from centre,Superior Twin Room
